Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Nogales,NOGA1,IMPFSPED,AZ,04023,31.33745,-110.93715,1172,10/27/2015,10/29/2018,1,100879
North Absaroka,NOAB1,IMPFSPED,WY,56029,44.74480,-109.38160,2482,01/26/2000,10/29/2018,1,67
North Birmingham,BIRM1,IMPFSPED,AL,01073,33.55310,-86.81480,175,03/01/2004,10/29/2018,1,25533
North Cascades,NOCA1,IMPFSPED,WA,53073,48.73160,-121.06460,568,07/30/1997,10/29/2018,1,81
Northern Cheyenne,NOCH1,IMPFSPED,MT,30087,45.64950,-106.55740,1283,06/01/2002,10/29/2018,1,161
Okefenokee NWR,OKEF1,IMPFSPED,GA,13049,30.74050,-82.12830,48,09/04/1991,10/29/2018,1,16
Old Town,OLTO1,IMPFSPED,ME,23019,44.93340,-68.64570,51,06/27/2001,05/29/2006,1,127
Olympic,OLYM1,IMPFSPED,WA,53009,48.00650,-122.97270,599,07/12/2001,10/29/2018,2,83
Omaha,OMAH1,IMPFSPED,NE,31173,42.14870,-96.43180,429,06/02/2003,08/04/2008,1,514
Organ Pipe,ORPI1,IMPFSPED,AZ,04019,31.95060,-112.80160,504,12/01/2002,10/29/2018,1,123
Owens Valley,OWVL1,IMPFSPED,CA,06027,37.36070,-118.33080,1234,06/27/2013,10/29/2018,1,98297
Pack Monadnock Summit,PACK1,IMPFSPED,NH,33011,42.86190,-71.87860,695,10/03/2007,10/29/2018,1,41880
Pasayten,PASA1,IMPFSPED,WA,53047,48.38770,-119.92750,1627,11/02/2000,10/29/2018,1,82
Penobscot,PENO1,IMPFSPED,ME,23019,44.94798,-68.64786,45,01/11/2006,10/29/2018,1,25679
Petersburg,PETE1,IMPFSPED,AK,02280,56.61076,-132.81234,0,07/02/2004,09/28/2009,1,25538
Petrified Forest NP,PEFO1,IMPFSPED,AZ,04017,35.07770,-109.76920,1766,03/02/1988,10/29/2018,1,41
Phoenix,PHOE1,IMPFSPED,AZ,04013,33.50380,-112.09580,342,04/19/2001,10/29/2018,1,166
Phoenix Colocated Sampler,PHOE5,IMPFSPED,AZ,04013,33.50380,-112.09580,342,01/01/2005,10/29/2018,2,39352
Pinnacles NM,PINN1,IMPFSPED,CA,06069,36.48330,-121.15680,302,03/02/1988,10/29/2018,1,92
Point Reyes National Seashore,PORE1,IMPFSPED,CA,06041,38.12240,-122.90850,97,03/02/1988,10/29/2018,1,91
Presque Isle,PRIS1,IMPFSPED,ME,23003,46.69640,-68.03330,165,03/08/2001,10/29/2018,1,126
Proctor Maple R. F.,PMRF1,IMPFSPED,VT,50007,44.52840,-72.86880,401,12/01/1993,10/29/2018,2,128
Puget Sound,PUSO1,IMPFSPED,WA,53033,47.56960,-122.31190,97,03/02/1996,10/29/2018,1,165
