Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Cherokee Nation,CHE185,CASTOZONE,OK,40001,35.75070,-94.67000,299,04/01/2002,12/30/2014,1,507
Chiricahua NM (NPS),CHA467,CASTOZONE,AZ,04003,32.00970,-109.38900,1570,07/01/1989,12/30/2014,1,232
Chiricahua NM Collocated,CHA267,CASTOZONE,AZ,04003,32.00970,-109.38900,1570,07/01/1989,09/30/1992,1,231
Claryville,CAT175,CASTOZONE,NY,36111,41.94110,-74.55140,765,05/01/1994,12/30/2014,1,227
Coffeeville,CVL151,CASTOZONE,MS,28161,34.00280,-89.79890,134,01/01/1989,12/30/2014,1,241
Connecticut Hill,CTH110,CASTOZONE,NY,36109,42.40110,-76.65360,501,10/01/1987,12/30/2014,1,239
Converse Station,CON186,CASTOZONE,CA,06071,34.19410,-116.91300,1837,06/17/2003,01/31/2011,1,25661
Coweeta 137,COW137,CASTOZONE,NC,37113,35.06050,-83.43020,686,01/01/1988,12/30/2014,1,237
Cranberry,PNF126,CASTOZONE,NC,37011,36.10400,-82.04480,1219,01/01/1989,12/30/2014,1,287
Crockett,CKT136,CASTOZONE,KY,21175,37.92110,-83.06580,455,08/24/1993,12/30/2014,1,233
Death Valley NM,DEV412,CASTOZONE,CA,06027,36.50800,-116.83800,125,01/01/1995,05/11/2008,1,245
Deer Creek,DCP114,CASTOZONE,OH,39047,39.63580,-83.25800,267,10/01/1988,12/30/2014,1,242
Deer Creek Collocated,DCP214,CASTOZONE,OH,39129,39.63580,-83.25800,267,10/01/1990,09/30/1992,1,243
Denali NP,DEN417,CASTOZONE,AK,02068,63.72300,-148.96800,661,01/01/1998,12/30/2014,1,244
Dinosaur NM,DIN431,CASTOZONE,UT,49047,40.43730,-109.30460,1463,11/20/2013,12/30/2014,1,98750
Edgar Evins,ESP127,CASTOZONE,TN,47041,36.03930,-85.73400,302,07/01/1988,12/30/2014,1,247
Egbert,EGB181,CASTOZONE,ON,-999,44.23170,-79.78400,251,07/01/1994,12/30/2014,1,246
Everglades NP,EVE419,CASTOZONE,FL,12025,25.38800,-80.68300,2,01/01/1998,12/30/2014,1,248
Fortification Creek,FOR605,CASTOZONE,WY,-999,44.33950,-105.91980,1408,04/01/2013,12/30/2014,1,98294
Georgia Station,GAS153,CASTOZONE,GA,13231,33.17920,-84.40530,270,07/01/1988,12/30/2014,1,249
Georgia Station Collocated,GAS253,CASTOZONE,GA,13255,33.17920,-84.40530,270,04/01/1989,09/30/1990,1,250
Glacier NP NPS,GLR468,CASTOZONE,MT,30029,48.51000,-113.99500,976,04/01/1989,12/30/2014,1,252
Gothic,GTH161,CASTOZONE,CO,08051,38.95730,-106.98500,2926,07/01/1989,12/30/2014,1,257
Grand Canyon NP (NPS),GRC474,CASTOZONE,AZ,04005,36.05900,-112.18200,2073,07/01/1989,12/30/2014,1,255
Great Basin NP,GRB411,CASTOZONE,NV,32033,39.00500,-114.21500,2060,04/01/1995,12/30/2014,1,254
Great Smoky NP - Look Rock,GRS420,CASTOZONE,TN,47009,35.63100,-83.94200,793,01/01/1998,12/30/2014,1,256
Hawaii Volcanoes NP,HVT424,CASTOZONE,HI,15001,19.44720,-155.30000,1199,09/01/1999,06/30/2004,1,261
Horton Station,VPI120,CASTOZONE,VA,51071,37.33000,-80.55730,920,07/01/1987,12/30/2014,1,318
Howland,HOW132,CASTOZONE,ME,23019,45.21610,-68.70920,69,01/01/1993,11/26/2012,1,259
Howland Ameriflux,HOW191,CASTOZONE,ME,23019,45.20410,-68.74020,60,09/01/2011,12/30/2014,1,98207
Hoxeyville,HOX148,CASTOZONE,MI,26165,44.18090,-85.73900,305,10/28/2000,12/30/2014,1,508
Huntington Wildlife Forest,HWF187,CASTOZONE,NY,36031,43.97310,-74.22320,502,06/01/2002,12/30/2014,1,509
Indian River Lagoon,IRL141,CASTOZONE,FL,12061,27.84920,-80.45540,2,07/01/2001,12/30/2014,1,510
Joshua Tree NM,JOT403,CASTOZONE,CA,06071,34.07100,-116.39000,1244,02/01/1995,12/30/2014,1,262
Kane Exp. Forest,KEF112,CASTOZONE,PA,42047,41.59810,-78.76830,622,01/01/1989,12/30/2014,1,263
Kickapoo Tribe,KIC003,CASTOZONE,KS,20013,39.85390,-95.65780,367,02/18/2014,12/30/2014,1,98749
Kobuk Valley NP,KVA428,CASTOZONE,AK,-999,67.18060,-157.89170,88,07/01/2004,09/30/2005,1,25663
Konza Prairie,KNZ184,CASTOZONE,KS,20161,39.10210,-96.60960,348,03/26/2002,12/30/2014,1,511
Lassen Volcanic NP,LAV410,CASTOZONE,CA,06089,40.53600,-121.57200,1756,07/01/1995,12/30/2014,1,264
Laurel Hill,LRL117,CASTOZONE,PA,42111,39.98830,-79.25220,615,01/01/1988,12/30/2014,1,268
Lilley C. Woods,LCW121,CASTOZONE,KY,21133,37.13000,-82.99000,335,04/01/1988,12/31/1993,1,265
Lye Brook,LYE145,CASTOZONE,VT,50003,43.05040,-73.06340,730,01/01/1994,07/15/2007,1,269
Lykens,LYK123,CASTOZONE,OH,39033,40.91690,-82.99810,303,12/01/1988,10/13/2010,1,270
M.K. Goddard,MKG113,CASTOZONE,PA,42085,41.42500,-80.14470,384,04/01/1988,12/30/2014,1,274
Mackville,MCK131,CASTOZONE,KY,21229,37.70440,-85.04830,353,08/01/1990,12/30/2014,1,271
Mackville Collocated,MCK231,CASTOZONE,KY,21229,37.70440,-85.04830,353,01/01/1993,12/30/2014,1,272
Mammoth Cave National Park,MAC426,CASTOZONE,KY,21061,37.28060,-86.26390,236,07/01/2002,12/30/2014,1,512
Mesa Verde NP,MEV405,CASTOZONE,CO,08083,37.19800,-108.49000,2165,01/01/1995,12/30/2014,1,273
Mount Rainier NP,MOR409,CASTOZONE,WA,53053,46.76100,-122.12100,421,08/01/1995,12/30/2014,1,276
